Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-04-25,32.09,32.11,31.6,31.95,10604845.0,0.0,1.0,30.660299063836643,30.679408006849314,30.19212996002611,30.526536462747917,10604845.0
2016-04-26,32.0,32.3,31.93,32.19,8700790.0,0.0,1.0,30.574308820279605,30.86094296546972,30.50742751973524,30.75584377890001,8700790.0
2016-04-27,32.18,32.29,31.99,32.16,6711311.0,0.0,1.0,30.746289307393678,30.851388493963388,30.564754348773267,30.727180364381,6711311.0
2016-04-28,31.97,32.73,31.73,32.44,13442016.0,0.0,1.0,30.54564540576059,31.27178524024223,30.316338089608497,30.994705566558448,13442016.0
2016-04-29,32.35,32.35,31.52,31.8,12532438.0,0.0,1.0,30.908715323001413,30.908715323001413,30.11569418797541,30.383219390152856,12532438.0
2016-05-02,32.05,32.12,31.7262,31.75,9794022.0,0.0,1.0,30.62208117781129,30.688962478355652,30.312707390436085,30.335447032621172,9794022.0
2016-05-03,31.57,31.6,30.665,31.25,15044344.0,0.0,1.0,30.1634665455071,30.19212996002611,29.298786874183563,29.857723457304303,15044344.0
2016-05-04,31.0,31.085,30.42,30.59,13708150.0,0.0,1.0,29.618861669645867,29.700074677449734,29.0647023222783,29.227128337886036,13708150.0
2016-05-05,30.79,30.81,30.3,30.54,10381903.0,0.0,1.0,29.41821776801278,29.437326711025456,28.95004866420225,29.179355980354348,10381903.0
2016-05-06,30.73,31.11,30.56,30.96,11427553.0,0.0,1.0,29.36089093897476,29.723960856215577,29.19846492336702,29.58064378362052,11427553.0
2016-05-09,31.0,31.07,30.54,30.78,8126275.0,0.0,1.0,29.618861669645867,29.68574297019023,29.179355980354348,29.408663296506447,8126275.0
2016-05-10,30.9,31.365,30.84,31.35,9184470.0,0.0,1.0,29.52331695458249,29.96759987962718,29.46599012554447,29.953268172367675,9184470.0
2016-05-11,31.32,31.46,31.0,31.08,8538025.0,0.0,1.0,29.924604757848662,30.05836735893739,29.618861669645867,29.695297441696564,8538025.0
2016-05-12,31.2,31.37,30.75,31.18,9411111.0,0.0,1.0,29.809951099772615,29.97237711538035,29.379999881987434,29.79084215675994,9411111.0
2016-05-13,30.87,31.285,30.37,30.52,10562575.0,0.0,1.0,29.49465354006348,29.891164107576483,29.016929964746613,29.160247037341673,10562575.0
2016-05-16,30.5,30.98,30.5,30.67,17749489.0,0.0,1.0,29.141138094328998,29.59975272663319,29.141138094328998,29.303564109936737,17749489.0
2016-05-17,30.4,30.775,30.28,30.63,9541781.0,0.0,1.0,29.045593379265622,29.403886060753276,28.930939721189578,29.265346223911383,9541781.0
2016-05-18,30.56,31.04,30.4362,30.75,8454169.0,0.0,1.0,29.19846492336702,29.657079555671217,29.080180566118564,29.379999881987434,8454169.0
2016-05-19,30.51,30.68,30.17,30.32,10142160.0,0.0,1.0,29.150692565835335,29.31311858144307,28.825840534619868,28.969157607214925,10142160.0
2016-05-20,30.51,30.79,30.4,30.57,7735485.0,0.0,1.0,29.150692565835335,29.41821776801278,29.045593379265622,29.20801939487336,7735485.0
2016-05-23,30.5,30.63,30.345,30.59,6698932.0,0.0,1.0,29.141138094328998,29.265346223911383,28.993043785980767,29.227128337886036,6698932.0
2016-05-24,30.65,31.08,30.62,31.05,8743126.0,0.0,1.0,29.284455166924058,29.695297441696564,29.25579175240505,29.666634027177555,8743126.0
2016-05-25,31.19,31.77,31.12,31.65,10152219.0,0.0,1.0,29.800396628266277,30.354555975633843,29.733515327721918,30.239902317557796,10152219.0
2016-05-26,31.65,31.75,31.18,31.29,6747686.0,0.0,1.0,30.239902317557796,30.335447032621172,29.79084215675994,29.89594134332965,6747686.0
2016-05-27,31.31,31.64,31.26,31.39,6089666.0,0.0,1.0,29.915050286342325,30.23034784605146,29.86727792881064,29.991486058393026,6089666.0
2016-05-31,31.54,31.62,31.13,31.28,11803307.0,0.0,1.0,30.134803130988086,30.211238903038787,29.743069799228252,29.886386871823316,11803307.0
2016-06-01,31.15,31.15,29.87,30.22,25997421.0,0.0,1.0,29.762178742240927,29.762178742240927,28.539206389429744,28.87361289215155,25997421.0
2016-06-02,30.13,30.46,30.05,30.26,12649256.0,0.0,1.0,28.787622648594514,29.10292020830365,28.711186876543817,28.911830778176903,12649256.0
2016-06-03,30.09,30.15,29.51,29.6,18547375.0,0.0,1.0,28.749404762569167,28.80673159160719,28.1952454152016,28.281235658758636,18547375.0
2016-06-06,29.85,30.04,29.72,29.99,10985050.0,0.0,1.0,28.52009744641707,28.70163240503748,28.395889316834683,28.65386004750579,10985050.0
2016-06-07,30.16,30.38,29.95,30.23,14425689.0,0.0,1.0,28.816286063113527,29.02648443625295,28.61564216148044,28.88316736365789,14425689.0
2016-06-08,30.0,30.03,29.52,29.57,12990855.0,0.38,1.0,29.031764113777925,29.060795877891703,28.567255887957476,28.61564216148044,12990855.0
2016-06-09,29.48,29.5,29.155,29.36,11907119.0,0.0,1.0,28.52854686913911,28.547901378548293,28.214036091239848,28.412419812683996,11907119.0
2016-06-10,29.22,29.34,28.98,29.06,10740357.0,0.0,1.0,28.276938246819697,28.39306530327481,28.044684133909477,28.122102171546214,10740357.0
